timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
2019-06-03 17:00:00,8536.82000000,8546.52000000,8464.54000000,8467.22000000,1159.19988100,2019-06-03 17:59:59,9850225.65654908,13381,546.60538000,4644820.23465867
2019-06-03 18:00:00,8468.06000000,8583.00000000,8465.51000000,8563.00000000,1083.55725300,2019-06-03 18:59:59,9242410.87493171,13561,657.84218100,5612581.86425353
2019-06-03 19:00:00,8561.49000000,8580.40000000,8522.98000000,8570.88000000,989.81153400,2019-06-03 19:59:59,8472547.09593254,12360,531.92172000,4553722.13404992
2019-06-03 20:00:00,8570.89000000,8580.22000000,8527.08000000,8564.00000000,959.43779300,2019-06-03 20:59:59,8208652.93758080,11297,466.94143300,3995893.43915748
2019-06-03 21:00:00,8565.00000000,8570.49000000,8462.11000000,8492.87000000,1263.14833000,2019-06-03 21:59:59,10741787.75734671,15624,650.14177500,5525600.39887496
2019-06-03 22:00:00,8495.60000000,8506.57000000,8403.24000000,8470.90000000,1202.21564600,2019-06-03 22:59:59,10163822.93882989,15523,638.66722900,5399736.13556653
2019-06-03 23:00:00,8470.52000000,8474.39000000,8080.80000000,8115.82000000,6943.99657700,2019-06-03 23:59:59,57058037.25414769,56694,2829.49915500,23222018.46152547
2019-06-04 00:00:00,8115.66000000,8115.66000000,7780.40000000,7988.13000000,10003.21900000,2019-06-04 00:59:59,79637037.07548283,70024,4387.92722900,34955480.09793845
2019-06-04 01:00:00,7989.98000000,8067.99000000,7968.00000000,8026.47000000,3396.97635300,2019-06-04 01:59:59,27258185.76934583,26238,1904.09564300,15279702.12511657
2019-06-04 02:00:00,8026.51000000,8044.98000000,7981.00000000,8042.10000000,1911.04589300,2019-06-04 02:59:59,15319353.56712155,17608,1071.70536800,8592963.77062966
2019-06-04 03:00:00,8042.10000000,8042.10000000,7879.00000000,7895.93000000,2899.98959100,2019-06-04 03:59:59,23156029.97939778,26373,1185.61621300,9465904.25062927
2019-06-04 04:00:00,7895.91000000,8007.28000000,7878.22000000,7973.23000000,3238.01342500,2019-06-04 04:59:59,25715481.66625704,25188,1400.63783700,11128250.96544094
2019-06-04 05:00:00,7973.05000000,8004.88000000,7940.00000000,7953.87000000,1366.53338500,2019-06-04 05:59:59,10899180.16044666,15992,886.69000800,7072962.53174965
2019-06-04 06:00:00,7953.78000000,7953.81000000,7830.00000000,7877.93000000,2859.77091100,2019-06-04 06:59:59,22577236.89243565,27542,1401.46510200,11068851.11803422
2019-06-04 07:00:00,7877.68000000,7916.04000000,7800.00000000,7892.60000000,2927.74927000,2019-06-04 07:59:59,23016745.77527477,24506,1539.27830800,12109993.10563529
2019-06-04 08:00:00,7893.10000000,7959.30000000,7887.90000000,7940.06000000,3017.64763400,2019-06-04 08:59:59,23884103.89422060,21701,1988.08423000,15737833.62090755
2019-06-04 09:00:00,7942.68000000,7994.96000000,7905.11000000,7970.01000000,1930.84541900,2019-06-04 09:59:59,15347276.31906044,18365,1070.60601300,8510665.28642468
