timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
2026-04-23 11:00:00,77403.63000000,77757.31000000,77365.57000000,77704.62000000,525.42671000,2026-04-23 11:59:59,40752905.49042420,99954,355.56668000,27581636.99783930
2026-04-23 12:00:00,77704.61000000,77870.54000000,77491.18000000,77870.53000000,636.21566000,2026-04-23 12:59:59,49448729.69183150,148629,272.69750000,21197111.28877730
2026-04-23 13:00:00,77870.54000000,77904.37000000,77379.92000000,77532.23000000,592.70115000,2026-04-23 13:59:59,45993667.21307590,188887,280.56866000,21774707.67747280
2026-04-23 14:00:00,77532.23000000,78201.53000000,77414.00000000,78180.77000000,926.52082000,2026-04-23 14:59:59,72131836.08840190,236529,525.92165000,40961939.44576080
2026-04-23 15:00:00,78180.78000000,78662.50000000,77983.25000000,78376.76000000,1008.45262000,2026-04-23 15:59:59,79031114.41086540,217635,485.12436000,38008908.94722980
2026-04-23 16:00:00,78376.77000000,78509.82000000,78030.00000000,78103.72000000,661.93618000,2026-04-23 16:59:59,51847518.75135350,150151,211.21065000,16541028.24862640
2026-04-23 17:00:00,78103.72000000,78184.85000000,76960.00000000,77769.21000000,1724.53866000,2026-04-23 17:59:59,133577665.78136510,397037,808.20246000,62613501.39982890
2026-04-23 18:00:00,77769.20000000,78146.75000000,77678.65000000,77678.65000000,731.06838000,2026-04-23 18:59:59,56984708.37429770,236759,376.98829000,29386703.35971250
2026-04-23 19:00:00,77678.65000000,77886.88000000,77592.92000000,77727.26000000,830.20485000,2026-04-23 19:59:59,64531354.52325890,153587,187.67368000,14588920.44905290
2026-04-23 20:00:00,77727.25000000,78050.00000000,77637.50000000,77886.97000000,391.74493000,2026-04-23 20:59:59,30491067.36905110,87377,152.99403000,11909262.01387210
2026-04-23 21:00:00,77886.97000000,78070.00000000,77800.00000000,77864.83000000,211.37751000,2026-04-23 21:59:59,16475991.68367190,46508,91.54673000,7136196.33352370
2026-04-23 22:00:00,77864.84000000,78331.00000000,77864.83000000,78235.30000000,271.33020000,2026-04-23 22:59:59,21209536.32400500,88187,137.98190000,10784907.23012970
2026-04-23 23:00:00,78235.29000000,78298.01000000,78030.00000000,78257.48000000,228.06394000,2026-04-23 23:59:59,17832378.56741900,59267,129.09891000,10094497.24804980
2026-04-24 00:00:00,78257.48000000,78490.83000000,78172.01000000,78417.22000000,451.37457000,2026-04-24 00:59:59,35380330.24346730,99845,301.70383000,23650644.69559820
2026-04-24 01:00:00,78417.22000000,78450.00000000,77952.16000000,78429.73000000,533.84795000,2026-04-24 01:59:59,41748504.37030600,93322,259.15865000,20280841.10666740
2026-04-24 02:00:00,78429.73000000,78581.93000000,78067.17000000,78125.65000000,425.56297000,2026-04-24 02:59:59,33332434.34129870,93404,220.21893000,17254778.37469210
2026-04-24 03:00:00,78125.65000000,78178.40000000,77555.00000000,77737.85000000,639.95986000,2026-04-24 03:59:59,49769813.66204480,114627,267.57722000,20806727.60051320
2026-04-24 04:00:00,77737.84000000,77854.57000000,77482.49000000,77670.00000000,605.14416000,2026-04-24 04:59:59,47015427.84769670,78417,294.79678000,22906667.47334120
2026-04-24 05:00:00,77670.01000000,78057.65000000,77457.00000000,77953.48000000,423.67180000,2026-04-24 05:59:59,32920698.12697990,83095,244.60623000,19014777.43232110
2026-04-24 06:00:00,77953.48000000,77979.54000000,77761.20000000,77789.75000000,280.75336000,2026-04-24 06:59:59,21859966.57065030,62370,161.97892000,12612379.55954570
2026-04-24 07:00:00,77789.75000000,77855.67000000,77543.52000000,77644.60000000,696.90666000,2026-04-24 07:59:59,54135887.06212490,86274,253.16613000,19664809.69159440
